"Story","Title","Result","Date","Stability","Duration (s)"
"Test","Test1","SUCCESS","2018-10-18T13:23:40.463+03:00","0.0","0.07"
"Test","Test2","FAILURE","2018-10-18T13:23:40.625+03:00","0.0","0.01"
